"Gene","Enrichment (WT)","FPM (WT)","ob/ob vs. Control","P (ob-ctrl)","STAT3KO vs. Control","P (ko-ctrl)","STAT3KO vs. ob/ob","P (ko-ob)","Group"
"Trim25",0.711823899003018,10.3648286697835,-0.0364817548279981,0.944166916613438,0.870018143211758,3.80680756197505e-06,-0.906499898039756,4.02078975142082e-05,"III"
"Trim56",-0.415751531916676,5.17022151031496,-0.346198239103759,0.624690340577857,1.30087949747384,5.14772527627183e-05,-1.6470777365776,4.67906709013639e-06,"III"
"Ube2l6",0.842633720317934,6.29621855777312,-0.0268939583945938,0.973008290194128,1.67444578258265,7.940303842231e-10,-1.70133974097725,7.36495571327368e-08,"III"
"Zc3hav1",0.102839555905397,4.93571875507212,-0.255746829247097,0.651807099184163,1.10169748333842,7.72150460572236e-06,-1.35744431258552,1.53593170452376e-06,"III"
"Armc7",0.786013951908972,17.8510727898057,-0.191063866527658,0.631809055260695,-0.631328365907942,0.0016085857170278,0.440264499380285,0.190926656769813,"III'"
"Cckbr",0.604253591145282,8.83624927635867,-0.289538178130018,0.508581669300519,-0.656427863800406,0.00944536511338193,0.366889685670388,0.592398542660717,"III'"
"Crhr2",1.33440598063994,6.58734609170387,-0.548416134748836,0.222158219679513,-0.826109899281794,0.00481328388493169,0.277693764532957,0.850818364565698,"III'"
"Meox1",0.682699710219475,3.35723447616152,-0.13806276412161,0.852114024607961,-1.37900923984434,4.20941093264632e-06,1.24094647572272,0.000726088390096174,"III'"
"Plxdc1",0.424164133713114,29.631901591467,-0.312140168275599,0.321697278806221,-0.604093501514833,0.00128338267008807,0.291953333239235,0.583084833740272,"III'"
"Prdm12",1.99420742281531,10.7176264608527,-0.454276570243222,0.19387275557137,-0.704070324104035,0.00136967074017849,0.249793753860813,0.797050904575429,"III'"
"Sox3",1.29850430974111,12.6225677884189,-0.361721565061652,0.526616992260203,-0.879254812703739,0.00699905948940383,0.517533247642087,0.489287981544033,"III'"
"Sstr1",1.09550896655731,15.9137906946468,-0.532195443701061,0.0385991921589737,-0.659561794572111,0.000259101637935268,0.12736635087105,0.921192709040253,"III'"
"Apol11b",-1.2218269393022,0.0138456554493278,-0.605415005490482,0.925434841608751,5.51870684061889,0.0127505331356497,-6.12412184610937,0.0256162689047897,"IV"
"Dtx3l",0.447452819199895,5.71789292261164,-0.649741396134656,0.175919953621996,1.74949539884143,1.41738051991025e-12,-2.39923679497608,4.03417772920203e-17,"IV"
"Gbp10",1.87904441426219,0.0177615124984281,-1.3831463384131,0.80494233803668,5.2037989473591,0.0184530199342381,-6.5869452857722,0.015757986683944,"IV"
"Gbp2",0.364023262333411,1.35723410327631,-0.993762218280709,0.209552717049516,2.44971599960912,2.35717438449831e-11,-3.44347821788983,7.70642155481728e-14,"IV"
"Gbp3",-0.134033397408845,1.69199240799126,-1.49647482778069,0.0101191660774521,4.78876074786145,2.24694290947237e-61,-6.28523557564214,2.35323945870462e-54,"IV"
"Gbp4",0.765793088582212,1.07573216319157,-2.53950213962757,0.00258400303197294,3.88155911452806,1.40555143559851e-25,-6.42106125415563,2.31062173568744e-24,"IV"
"Gbp6",0.420863781845917,0.427988679856175,-0.592329793216945,0.617599193482714,4.49867685270129,1.37459596721162e-36,-5.09100664591823,6.05087489964567e-24,"IV"
