"Gene","FPM (WT)","FPM (STAT3KO)","FPM (ob/ob)","Enrichment (WT)","P (WT)","Enrichment (STAT3KO)","P (STAT3KO)","Enrichment (ob/ob)","P (ob/ob)"
"Rbp4",9.78521109455484,15.4530417394255,18.8774208974903,1.16078434142415,3.44512851625708e-06,2.06223991028513,6.4464876921659e-18,2.07256980548664,5.5572502738922e-11
"Tap1",2.60112073948066,17.6528170006535,1.8859271651356,1.07619719434117,0.000430733631964474,3.66276745350757,3.04447543086297e-45,0.539470790830243,0.344240334058179
"Tex36",0.196039975225596,0.099536654150866,0.125933477783244,1.23540652532641,0.498032875449998,4.24364217602993,0.0362908914221502,-0.201064950446416,1
"Rspo4",2.71643272513641,3.43374220798141,3.6131680313994,1.91448862017353,1.97207042260115e-05,1.65854062700094,0.00015019415105501,1.70315614230088,0.00622696478719915
"Tnfrsf8",18.9410363678661,13.8076318068306,11.9633229905231,2.03427170179553,5.11586664321426e-16,1.75581414364896,5.97720493330916e-12,1.47126356789872,4.30647295066272e-05
"Usp51",11.5750771123489,13.1086096005084,15.7178278254416,1.83146538136187,5.22295702616031e-08,1.82591539229145,5.2882464477588e-08,1.59417389841894,0.000585910723402504
"Gkn3",0.458128648513926,0.581136716133301,0.348451695088816,1.91276573306988,0.0722349734196116,2.41235028188588,0.0203984323532048,0.919637509507197,0.681686181504038
"Rpl10-ps3",0.647201396784364,0.82321744839623,1.56512216689388,1.55623423483396,0.0186429361228132,1.50649843134961,0.0168780194864939,2.16385054526079,0.0109703915313417
"Tmem207",0.347615543609196,0.402834105277997,0.738194736005753,1.14664629381077,0.347837908038232,1.77338829878095,0.125613946784591,2.28887076530378,0.159570330587351
"Adgrl4",7.07590612884371,5.97249691167843,2.51287695132382,2.229158344932,0.00565351875605242,2.26069450706388,0.00562164118287277,0.691824599234758,0.706997547329053
"Lexm",0.674350621131984,0.713566818865664,0.805430737267163,1.81122679249432,0.00556498079379909,2.00507218733945,0.00203808447061735,1.36251261802556,0.166661888636828
"Six6",16.6876809365726,16.1603798475576,18.0460455047899,1.98467595190109,2.47008650794778e-39,1.60054899990128,2.24500713847223e-27,1.59122773648823,8.7146678443556e-16
"Iqcj",0.315179019469454,0.154606725877293,0.170299825224433,2.40045874469053,0.0424953164422835,0.780328358366954,0.610927348281133,1.99083976606179,0.408564569043187
"Robo4",2.61551115970122,3.53798480473942,1.76136664755161,2.04823620911106,9.57958891488152e-05,2.12029172081201,3.59277133610631e-05,0.989950556137613,0.26513207063812
"Gal",52.2310054064684,43.6531975021391,57.3840454421167,1.88668969078915,7.17919668825988e-14,1.50926350474482,3.93639156941016e-09,1.75090357341849,2.10901960942922e-07
"Cd274",10.1422405807116,40.3668983304606,7.02053749608732,1.45266561765456,1.74556382479197e-09,3.18196765831807,1.0649571161489e-46,0.511168093731431,0.213748648195257
"Krt18",5.27426363098374,5.2909041911129,6.31679762258393,1.77500860683391,2.39952581064423e-09,1.62017596891667,4.22852141825605e-08,1.69432856547952,3.73964501498515e-05
"Msln",2.48130176310173,3.21070415405668,3.3844998108677,1.81199138785151,9.07688809247139e-07,1.92101777451911,5.45056213755483e-08,1.33493194182518,0.00813975010832636
"Gna14",2.44060378925192,2.10634784955225,1.33134782212073,2.06532621707664,5.55582206584274e-08,1.86709372617077,1.1441818679531e-06,1.13074743815281,0.0775210900952235
"5830473C10Rik",0.150841968738598,0.205540700438586,0.412612694737158,1.08373142180177,0.427103153508669,1.72345688684362,0.16272836874234,2.24661374070489,0.190265821601119
"Sult5a1",1.03212260718643,1.63497343799882,1.76306868896542,1.60238184429336,0.0022393371617655,2.13145314098301,1.48662086176157e-05,1.30760498324842,0.0684473222014996
"Pjvk",0.787188454383766,0.601703440017776,0.67164521484397,2.79890069385125,0.000212013819076986,1.33666357765611,0.0712171663804826,0.902472801356878,0.481399020887043
"Slc44a3",0.637778553984115,0.31649974763518,0.187705955918146,2.54860218861325,0.00469042577909438,1.27573835705346,0.211059285503103,1.19653910136177,0.582094547791041
"Tek",3.95440191259013,5.50633991688037,1.771607213705,1.87575594734385,0.0199790406995082,2.16265902417302,0.00666302237912744,0.954278705085311,0.535049200402362
"Sncg",123.860394177679,127.841895029008,142.019700400342,1.84458949738982,3.404843499826e-16,1.6961858588245,8.93792552370815e-14,1.42296419889535,4.51292835735839e-06
"Gast",1.17615640933298,0.900520811334877,1.29892408224675,2.41728057217287,5.53670059930683e-05,1.27952758626522,0.0348899226899276,1.26291493236348,0.153866354704767
"Aldh3b2",17.1026333085056,19.497844152525,24.6505095879714,1.74270147343334,1.42670726271337e-14,1.62621030941676,4.50219871748782e-13,1.58676457288438,1.21291712431904e-07
